prob_name,absolute_cox,cox
218270_at,1.250819267,1.250819267
201931_at,1.249724434,1.249724434
225077_at,1.249672919,-1.249672919
219634_at,1.248040774,-1.248040774
228046_at,1.247646563,-1.247646563
1559827_at,1.246779972,1.246779972
200762_at,1.2443306,1.2443306
228726_at,1.242553929,1.242553929
204369_at,1.239915964,-1.239915964
205024_s_at,1.239865947,1.239865947
233198_at,1.239214889,1.239214889
217787_s_at,1.238271786,-1.238271786
213371_at,1.235456108,1.235456108
204769_s_at,1.234995554,1.234995554
201443_s_at,1.234148194,1.234148194
211742_s_at,1.234012324,1.234012324
225131_at,1.233401981,-1.233401981
205316_at,1.232621531,1.232621531
218741_at,1.230834438,1.230834438
226414_s_at,1.230283107,1.230283107
1559593_a_at,1.227403853,-1.227403853
226670_s_at,1.225230082,1.225230082
227074_at,1.224712728,1.224712728
213915_at,1.224272239,1.224272239
201700_at,1.22336246,1.22336246
212864_at,1.223323042,-1.223323042
219551_at,1.22325091,1.22325091
226158_at,1.220976385,-1.220976385
206404_at,1.220849621,-1.220849621
212215_at,1.220532258,1.220532258
222968_at,1.219564784,-1.219564784
226207_at,1.219089414,-1.219089414
215807_s_at,1.217756639,-1.217756639
212196_at,1.217057822,-1.217057822
209301_at,1.217001523,-1.217001523
224466_s_at,1.216569813,-1.216569813
209013_x_at,1.216141283,-1.216141283
224584_at,1.215936323,1.215936323
209352_s_at,1.215267912,-1.215267912
209507_at,1.213080974,1.213080974
209606_at,1.212726569,1.212726569
203574_at,1.212327728,-1.212327728
205583_s_at,1.212263746,1.212263746
200986_at,1.212256337,-1.212256337
223086_x_at,1.21218021,1.21218021
204258_at,1.210752476,-1.210752476
210162_s_at,1.209856138,1.209856138
229391_s_at,1.209639366,1.209639366
223411_at,1.20841043,1.20841043
230130_at,1.208000521,-1.208000521
227001_at,1.20685916,1.20685916
202411_at,1.206704182,-1.206704182
201548_s_at,1.206454318,-1.206454318
205101_at,1.206408763,1.206408763
1560145_at,1.205688321,-1.205688321
203371_s_at,1.205662361,1.205662361
229540_at,1.205386526,-1.205386526
223038_s_at,1.205329453,-1.205329453
203093_s_at,1.205172448,-1.205172448
201986_at,1.205129535,-1.205129535
212666_at,1.204691082,-1.204691082
205260_s_at,1.204387121,1.204387121
201160_s_at,1.203285742,1.203285742
218508_at,1.202933296,-1.202933296
