	h_avg	h_train1	h_train2	h_train3	h_train4	h_train5	whole_data
1552944_a_at	0.15040332383815738	0.3834887657096654	0.02904725124409237	0.006162275830927045	0.1922221333661926	0.14109619303990947	0.15262778929203075
1552977_a_at	0.06786803194824008	0.12241368746407841	0.022353629393139108	0.08574717307602425	0.05852543609310116	0.05030023371485747	0.014601561163072959
1552978_a_at	0.13431326746583672	0.006273626412613474	0.08158863204440603	0.29869193308858566	0.008351787614234033	0.2766603581693443	0.15005762756357705
1552997_a_at	0.38586587707184183	0.5305604224221375	0.25631872549926255	0.2928345342040326	0.38293608650034217	0.4666796167334343	0.4270273989726402
1553015_a_at	0.5430420816096946	0.3938141549198878	0.8968638552421068	0.4546797729631415	0.29489853187147214	0.6749540930518647	0.6100755671089628
1553019_at	0.17200392976748874	0.11425438438563845	0.31359995176873146	0.15856043249894114	0.20532129754038217	0.06828358264375048	0.2275864838534159
1553039_a_at	0.08248968035277056	0.0876195692720172	0.12602360364899548	0.09370452614926025	0.10505859847942216	4.210421415770592e-05	0.06966769250821687
1553042_a_at	0.3604719336653039	0.4224515611954871	0.39799109476962685	0.015320952912306241	0.46459482232404464	0.5020012371250547	0.41468794551819005
1553043_a_at	0.28588940657564405	0.07375861801283812	0.16086061198311316	0.25249617521889667	0.7151245138570381	0.2272071138063341	0.19452954493790417
1553060_at	0.11261932238014152	0.0649905265981945	0.013785791960766475	0.19039544712100126	0.1732674218563736	0.12065742436437178	0.047901571619835534
1553081_at	0.29955011889478644	0.3566052414479588	0.23795312020081763	0.24018419398205246	0.2942028044240481	0.3688052344190554	0.30913649220456335
1553088_a_at	0.0806540981022685	0.14846438494989217	0.07538025555738112	0.07147362247370692	0.000582776942541611	0.10736945058782078	0.0364483264673779
1553096_s_at	0.17075465119105085	0.41581267275331346	0.048076757856608976	0.19050833723772756	0.022867800913850517	0.1765076871937537	0.0799367884580525
1553099_at	0.13096726673339482	0.22034943860988912	0.07677286581956955	0.13836030163473304	0.09482781372991753	0.12452591387286488	0.10110249381760217
1553101_a_at	0.07014447556714368	0.0028596470337020666	0.0072339283681962	0.06588363062808598	0.25783636703661567	0.0169088047691185	0.06480144709639954
1553102_a_at	0.2337766199585435	0.16250945074075568	0.3147931794569156	0.26248845940096377	0.007254980588041821	0.4218370296060406	0.22702782238261826
1553103_at	0.2412550751231187	0.21208302252745717	0.08797061606249872	0.2716458717960056	0.27806948253567537	0.3565063826939568	0.23354683281547978
1553107_s_at	0.09523018460659946	0.1680334847380601	0.08344407433646717	0.006008663719742814	0.17380799628496646	0.044856703953760804	0.1060327620103227
1553112_s_at	0.4460411965045991	0.4921739953624714	0.39175705066284505	0.3686475259274306	0.609144889279381	0.36848252129086767	0.5297235206151921
1553113_s_at	0.34265035136109634	0.3320589626835485	0.21897941571644333	0.4168250997962264	0.45261474136374436	0.29277353724551913	0.40236173789188134
1553114_a_at	0.14481709743441135	0.10022319064438183	0.18716945319211223	0.1726743174305241	0.2200020856649153	0.044016440240123265	0.14550346068852096
1553115_at	0.10050651981009409	0.18740702894313593	0.09620547864839814	0.1302094995175727	0.056124500274915376	0.03258609166644828	0.027792858779039364
1553117_a_at	0.22463457794242164	0.15005651120271682	0.25813038633195917	0.10961636769313382	0.3309182777434017	0.274451346740897	0.09809321736748298
1553133_at	0.21064047043523032	0.09041258284028716	0.05441115161779675	0.3392979976115108	0.0297899112949483	0.5392907088116083	0.1657352615603572
1553136_at	0.08337873372603663	0.15941701581039522	0.06659229752959892	0.05623705345247571	0.04007239170608993	0.09457491013162334	0.04846065139850405
1553138_a_at	0.23338385991679372	0.2819582328576914	0.19549676729140905	0.19246339160876239	0.2957200806516779	0.20128082717442794	0.281036838637954
1553145_at	1.1804521508137038	1.166749157008476	0.9722348941206945	1.2905425098248653	0.8212267179407519	1.6515074751737309	1.3085843125251917
1553153_at	0.10752612737006342	0.03961265107609081	0.09677955857993804	0.164357882919328	0.09413276501486535	0.14274777926009483	0.14918137066240494
1553155_x_at	0.09197975292023104	0.06759860908783995	0.18735247636700644	0.05443000363595026	0.14951993211677134	0.0009977433935872315	0.04692867592664612
1553165_at	0.14312666437652338	0.015683662350165824	0.3096970243012823	0.06537517697908614	0.08392576231695911	0.24095169593512356	0.14323525353141997
1553168_at	0.295113443623119	0.44637797270248564	0.20727259040377644	0.27280363454038026	0.300741315003011	0.24837170546594134	0.3037962647870092
1553175_s_at	0.17117717041244956	0.3001460691343684	0.16102784392354116	0.1438110676260234	0.092752472260085	0.1581483991182299	0.16364167775947525
1553177_at	0.36640522415409454	0.36460901861071554	0.32804003894939965	0.29847635758846974	0.2916977463211474	0.5492029593007404	0.3863522861181213
1553183_at	0.574068097770229	0.441943948714001	0.4634668577961079	0.9379274953203435	0.37741772321368583	0.6495844638070073	0.5805802224288782
1553185_at	0.09254568431935299	0.055446048112827655	0.10557742037752904	0.03234365794041836	0.13175299492571244	0.13760830024027745	0.054368371717692376
1553186_x_at	0.07161794299484438	0.06839412662906719	0.020083600391033542	0.009130751417114322	0.14846679427548967	0.11201444226151712	0.01337266809023786
1553194_at	0.4053353982255703	0.7334314722769053	0.22002312957422343	0.4879878448804294	0.15158672590256392	0.4336478184937297	0.426500906025311
1553205_at	0.31215200806475724	0.08642076518455959	0.46689708933592255	0.413609066197201	0.2985932115986323	0.2952399080074709	0.379267825622509
1553211_at	0.09550202604824162	0.01492536437402332	0.21803362955121816	0.14793043435630926	0.06800135944069288	0.028619342518964586	0.006527169290737885
1553218_a_at	0.4264110065647859	0.7349263183144792	0.19162345708309653	0.17104292237390592	0.3888673806400979	0.6455949544123503	0.47741419449241296
1553220_at	0.22030405261699162	0.2430557813535229	0.2740694327505254	0.08709004124437837	0.06176436737548592	0.4355406403610455	0.22011943619630833
1553222_at	0.06268900132433777	0.16670118285963842	0.05751218553360166	0.04664293789632669	0.007719566952018515	0.03486913338010354	0.020718603306739136
1553224_at	0.28869222440396347	0.14503486418905664	0.03474924301065105	0.4558486042946994	0.0017777947456241905	0.8060506157797859	0.28418811945516154
1553227_s_at	0.1745549773970057	0.18339184350748117	0.3384972142875393	0.13008766630641092	0.14526844441858627	0.07552971846501082	0.09260169678458958
1553239_at	0.3569559325483612	0.3333630270814589	0.4157838043541453	0.2745628094205703	0.45331871017065556	0.3077513117149762	0.39638369756980896
1553246_a_at	0.15795548368947138	0.21954047645187172	0.11438473638467347	0.052395836072342994	0.30532429859310123	0.09813207094536737	0.1420008608395992
1553252_a_at	0.4042587477575009	0.4694497599485476	0.6695593308820489	0.38625368898894574	0.0502682480435351	0.445762710924427	0.4640341054013125
1553253_at	0.23976375919808296	0.3545838774444549	0.16625506333326054	0.17877231380436703	0.3040004981236466	0.19520704328468566	0.22856156934041155
1553263_at	0.23301317130985538	0.2837302248885571	0.21846663573675024	0.05227819838201316	0.4264145643945833	0.1841762331473731	0.23911924237283755
1553264_a_at	0.2060784364661504	0.36492155790781994	0.1039072772392275	0.2336090388618992	0.0928630778387867	0.23509123048301872	0.09710514843957918
1553269_at	0.13783017086696694	0.06655022847439399	0.04946549865309479	0.21206609837252569	0.1819394332145642	0.17912959562025602	0.040660719538404916
1553272_at	0.15749716982028344	0.10958827817473102	0.28250478085983727	0.005632497743360233	0.16616261996556567	0.22359767235792308	0.14555238756324362
1553274_a_at	0.2587980241297611	0.10192107991830346	0.2433987974439658	0.2150673930661813	0.2745917556835857	0.4590110945367693	0.29767359358244283
1553279_at	0.11249777476800724	0.03688851033503451	0.0876366064721058	0.030411070638410732	0.24633187348610794	0.16122081290837723	0.054340590940943734
1553292_s_at	0.5587764618540144	0.30732267719641204	0.32205580358553054	0.5454394745201225	0.6021934655189576	1.0168708884490496	0.6154107042096271
1553297_a_at	0.7707518042042055	1.1061819458336797	0.8116581788578274	0.6402401014773023	0.5821948306296069	0.7134839642226115	0.8499453705640988
1553338_at	0.12773706621008776	0.019842755726374513	0.0036576156445107992	0.16912162511553075	0.32046780145906256	0.12559553310496013	0.0009170470410904658
